2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43538 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43538@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43564 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43564@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43544 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43544@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43620 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43620@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43626 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43626@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43642 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43642@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43644 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43644@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43552 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43552@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43560 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43560@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43570 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43570@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43574 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43574@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43578 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43578@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43584 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43584@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43586 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43586@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43594 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43594@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43600 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43600@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43802 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43802@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43762 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43762@61616
2018-09-10 14:12:58,253 | WARN  | Transport Connection to: tcp://127.0.0.1:43604 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43604@61616
2018-09-10 14:12:58,252 | WARN  | Transport Connection to: tcp://127.0.0.1:43694 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43694@61616
2018-09-10 14:12:58,252 | WARN  | Transport Connection to: tcp://127.0.0.1:43690 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43690@61616
2018-09-10 14:12:58,252 | WARN  | Transport Connection to: tcp://127.0.0.1:43672 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43672@61616
2018-09-10 14:12:58,252 | WARN  | Transport Connection to: tcp://127.0.0.1:43676 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43676@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:43722 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:43722@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35186 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35186@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35192 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35192@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35196 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35196@61616
