Name,Status,Protocol,Vendor,Device Type,Supported products,Installed version,Available version,Nodes in use,Fault license,Performance license,Last modified
"3com-total-control","Available","Snmp","3Com","Router","TOTAL-CONTROL-3COM","","6.0.10","0","","",""
"a10thunder3030s","Available","Snmp","A10 Networks","Unknown","thunder 3030s","","6.0.10","0","","",""
"accedian-nid-coe","Available","Snmp","Accedian COE Networks","Demarcation Device","Accedian-NID-COE","","6.0.10","0","","",""
"accedian-nid","Available","Snmp","Accedian Networks","Demarcation Device","Accedian-NID,Accedian-AMN-1000-GT","","6.0.10","0","","",""
"aci-a8kfr1","Available","Snmp","ACI","Unknown","A8KFR1","","6.0.10","0","","",""
"aci-ed5219","Available","Snmp","ACI","Amplifier","ED5219","","6.0.10","0","","",""
"acmepacket-net-net-4000","Available","Snmp","Acme Packet","SBC","Net-Net 4000 Series","","6.0.10","0","","",""
"acmepacket-net-net-6000","Available","Snmp","ACME","SBC","SBC","","6.0.10","0","","",""
"actelis-ml130","Available","Tl1","Actelis Networks","MSPP","ML130","","6.0.10","0","","",""
"actelis-ml1300","Available","Tl1","Actelis Networks","MSPP","ML1300","","6.0.10","0","","",""
"actelis-ml2300","Available","Tl1","Actelis Networks","MSPP","ML2300","","6.0.10","0","","",""
"actelis-ml600","Available","Tl1","Actelis Networks","MSPP","ML600","","6.0.10","0","","",""
"adc-higain-hmu-319","Available","Tl1","ADC","Unknown","HMU-319","","6.0.10","0","","",""
"adc-soneplex","Available","Tl1","ADC","DLC","Soneplex","","6.0.10","0","","",""
"ademco-panel","RPM install failed","Ascii","Ademco","OAC","Panel","","6.0.10","0","","",""
"adtran-aoe","Available","Snmp","Adtran","Manager","AOE","","6.0.10","0","","",""
"adtran-mx-2800","Available","Tl1","Adtran","MSPP","MX 2800","","6.0.10","0","","",""
"adtran-mx-2820","Available","Tl1","Adtran","MSPP","MX 2820","","6.0.10","0","","",""
"adtran-mx408e","Available","Snmp","Adtran","Gateway","MX408e","","6.0.10","0","","",""
"adtran-mx410","Available","Snmp","Adtran","MUX","MX410","","6.0.10","0","","",""
"adtran-netvanta-3100","Available","Snmp","adtran","Router","netvanta","","6.0.10","0","","",""
"adtran-netvanta-3400","Available","Snmp","adtran","Router","netvanta","","6.0.10","0","","",""
"adtran-netvanta-6000","Available","Snmp","adtran","Router","netvanta","","6.0.10","0","","",""
"adtran-netvanta","Available","Snmp","Adtran, Inc","Unknown","Netvanta","","6.0.10","0","","",""
"adtran-opti-6100","Available","Tl1","Adtran","MSPP","Opti 6100","","6.0.10","0","","",""
"adtran-ta-1124p","Available","Snmp","Adtran","DLC","adtran-ta-1124p","","6.0.10","0","","",""
"adtran-ta-1200","Available","Snmp","Adtran","DSLAM","Adtran-ta-1200","","6.0.10","0","","",""
"adtran-ta-1248","Available","Snmp","Adtran","DSLAM","Adtran-ta-1248","","6.0.10","0","","",""
"adtran-ta-1500","Available","Snmp","ADTRAN","MSAP","Total Access-1500","","6.0.10","0","","",""
"adtran-ta-3000","Available","Snmp","Adtran","DSLAM","adtran-ta-3000","","6.0.10","0","","",""
"adtran-ta-5000-snmp-modified","Available","Snmp","Adtran","MSAP","TA","","6.0.10","0","","",""
"adtran-ta-5000-snmp","Available","Snmp","Adtran","MSAP","TA","","6.0.10","0","","",""
"adtran-ta-5000","Available","Tl1","Adtran","MSAP","Total Access 5000","","6.0.10","0","","",""
"adtran-ta-900","Available","Snmp","Adtran","Gateway","adtran-ta-900","","6.0.10","0","","",""
"adva-206","Available","Snmp","ADVA","Demarcation Device","Adva GE-206","","6.0.10","0","","",""
"adva-fsp-150cc","Available","Snmp","ADVA","Gateway","FSP 150CC","","6.0.10","0","","",""
"adva-fsp-3000-snmp","Available","Snmp","ADVA Optical Networking","MUX","FSP-3000RE","","6.0.10","0","","",""
"adva-fsp-3000","Available","Tl1","ADVA Optical Networking","MSPP","FSP 3000","","6.0.10","0","","",""
"adva-fsp-r7-snmp","Available","Snmp","ADVA","DWDM","FSP3000 R7","","6.0.10","0","","",""
"adva-fsp150cc-ge-110","Available","Snmp","ADVA","Unknown","FSP 150CC-GE110 Series","","6.0.10","0","","",""
"afc-umc-1000","Available","Ascii","AFC","Unknown","UMC-1000","","6.0.10","0","","",""
"akcp-sensorprobe8-x60","Available","Snmp","AKCP","Unknown","AKCP-sensorProbe8-x60","","6.0.10","0","","",""
